AVALIANDO -&gt	 rejeitando artistas" d milhares d MILHÕES -&gt
#diarioeconomico Passos Coelho e Portas recusam governar com José Sócrates: Conferência do Diário Económico junt... http://bit.ly/lo7y9j	
#DiárioEconómico: “O senhor entregou as suas ideias na mão de José Sócrates” http://bit.ly/jFPMXZ	
#EU _· Surveillance is Freedom · RT @mind_booster Sócrates bragging amuses European leaders http://ff.im/DLPNZ	
#novasoportunidades #socrates  http://twitpic.com/50504l	
#rtp Memorando da discórdia entre Portas e Louçã:       Paulo Portas e Francisco Louçã protagonizaram ontem o pe... http://bit.ly/lHZNat	
#sábado Fernando Seara: Ataca Sócrates: Fernando Seara disse ontem que José Sócrates está agarrado ao poder com... http://bit.ly/kFY16d"	
#sábado Louçã contra substituição de apoios sociais por vales de alimentação: Substituir apoios sociais por arro... http://bit.ly/meM0bz	
A expectativa para o debate Sócrates/Passos http://nblo.gs/i63L7	
A hashtag para o frente-a-frante Sócrates-Passos vai ser #e2011pt . Siga o debate em http://www.rtp.pt/frenteafrente	
A ouvir o #forumTSF sobre José Sócrates, mas sem o próprio.	
A partir das 20h30, comente em direto o debate entre José Sócrates e Passos Coelho. http://www.rtp.pt/frenteafrente #e2011	
Á Pergunta: Vai ver o #debate de logo, entre #PPC e #Sócrates? A respopsta caíu que nem uma bomba: "Não vejo monólogos" #humordobaninha"	
A simpatia de Sócrates - Quem não está habituado à crítica reage assim.  http://ow.ly/1cLK6N	
A timeline está a dizer que o Louçã está bem no #debate?...	
A ver agora o Villas Boas tb de voz embargada, ele e o Sócrates, super sweet :,)	
AGENDA: Hoje na RTP1, a partir das 20:45h, acompanhe o debate entre José Sócrates e Pedro Passos Coelho.	
Alguém me arranja a entrevista completa do Socrates ao DN de 16/09/2000 onde ta este excerto http://bit.ly/lHoeg8 ? RT sff	
Antonio Costa admite a saída de José Sócrates caso o PS perca as próximas eleiçoes:  http://bit.ly/lD47Da	
Assim uma espécie de especial sobre o frente-a-frente Sócrates - Passos Coelho:  Estou a rapinar este recorte ao... http://bit.ly/lTGjYm	
Bombeiros de Massamá vão estar de prevenção durante o debate entre Passos e Sócrates:  Uma ambulância dos bombei... http://bit.ly/lDKjoH	
CANTIGUEIRO": Sócrates – As críticas e as provas dadas http://bit.ly/isl7H7"	
Começo por discordar de Clara de Sousa, Portas e Louçã são quase do mesmo campeonato	
Debate entre Portas e Louçã visto por mais de um milhão de pessoas http://publico.pt/1495124	
Debate José Sócrates - Pedro Passos Coelho aqui: http://www0.rtp.pt/frenteafrente	
Debate Passos/Sócrates:  Estarei a acompanhar o debate entre Pedro Passos Coelho e José Sócrates, Ao minuto, no ... http://bit.ly/mlYCiT	
Debate Sócrates - Passos na RTP1. Que temas gostaria de ver debatidos? Participe. http://www.rtp.pt/frenteafrente #e2011pt	
Debates terminam hoje com frente-a-frente entre Sócrates e Passos http://www.clubedosinvestidores.com/?p=25637	
Depois de ver o #debate de ontem dos partidos pequenos e do regabofe do Coelho perdi interesse no Portas e no Louçã. Falta haver sangue...	
Dérbi dos debates. Passos e Sócrates olhos nos olhos: Se fosse um jogo de futebol, o debate desta noite entre Pa... http://bit.ly/m37InT	
Eleições: Todo este pacote, e os juros que acompanham, já têm a fatura passada: 30 mil milhões de euros" -- Louçã:  http://bit.ly/mNdO7W"	
Em que canal é o #debate de hoje entre Passos e Sócrates?	
Então o #socrates não arranjou espaço na agenda para ir ao fórum da #tsf?	
Entrevista a Francisco Louçã http://dlvr.it/SLtgy	
Évora: Candidato do BE propõe criação de banco de terras: O cabeça de lista do Bloco de Esquerda por Évora defen... http://bit.ly/ly3m7k	
Fernando Seara: Ataca Sócrates http://bit.ly/mjAKUM	
Ferro Rodrigues está a batalhar pela derrota de Sócrates, certo?	
Francsico Louçã insiste na renegociação da taxa de juro. http://fb.me/11f5ND7Hv	
Frente a Frente - José Sócrates x Pedro Passos Coelho - Deixem o vosso comentário em: www.rtp.pt/frenteafrente	
Gostava de ser mosca e estar a filmar os bastidores da preparação do debate de logo, quer do lado de Sócrates, quer do lado de Passsos	
Há menos de 1ano, Cavaco dizia q Portugal estava numa situação insustentável. Sócrates negava. Qual crise??  http://youtu.be/H_ku172f8DA	
Hehe Louçã usa o termo d Portas Trium Virato" para apelidar qm assinou o memorando, PPortas PPCoelho e JSócrates #debate (c delay :)"	
Herman José, António Torrado e Albuquerque Mendes anteveem debate entre Sócrates e Passos Coelho http://dlvr.it/SLnmM	
Hoje é o debate Sócrates vs Passos Coelho, certo? Vou estar em viagem, alguém se voluntaria para comentar (sem clubites) aqui?	
Hoje vou para uma espécie de 'Pulo do Lobo', onde não há Tv, logo vou perder o debate entre PPC e sócrates.	
http://www.youtube.com/watch?v=WQrWAfwyHLI  Louçã vs. Portas: Vale social", precariedade e congelamento das pensões"	
Imprensa Falsa: Bombeiros de Massamá vão estar de prevenção durante o debate entre Passos e Sócrates http://kapa.biz/o4f	
Já estamos a debater o frente-a-frente entre José Sócrates e Pedro Passos Coelho. http://www.rtp.pt/frenteafrente #e2011pt	
Já podem deixar as vossas perguntas ao debate de hoje entre Sócrates e Passos Coelho, aqui no chat - http://cot.ag/m0N4sv #e2011pt	
José Sócrates e Ana Jorge na Figueira da Foz http://bit.ly/lEbOFM	
Lá vem a Merkel... RT @carlosavargas: Lá vem o Sócrates.... RT @manuelparreira: @carlosavargas Será que os contribuinte http://t.co/gl9DkWd”	
Lá vem o Sócrates.... RT @manuelparreira: @carlosavargas Será que os contribuintes alemães se preocupam tant… (cont) http://deck.ly/~QdYTX	
Ler: A essência de Sócrates http://j.mp/lMDIdV #blogues	
Louçã: Quando Passos leva uma banana Sócrates traz um cacho"... óhh migo, cada um leva onde quer e ninguém tem nada a ver com isso..."	
Malta de Coimbra, alguém conheceu ou se lembra do Socrates estudante?	
Mesmo aos que não amam o Sócrates? :p RT @Dputamadre #Followfriday Everybody Except @passoscoelho !!	
Mota Amaral: Cavaco devia ter afastado Sócrates  http://is.gd/SEnm3w  Mas a calhandrice tém muitos cumplices ... lol .. eu n/disse???	
Muito bom, este gajo que fez a pergunta devia de ir ajudar o PPC! - #Sócrates irrita-se com empresário http://t.co/mbBR9T4 via @TVI24	
Muitos falam da relação amor/ódio e quão próximos estão. Mas tenho para mim que nunca vou ver o Portas e o Louçã a comerem-se...	
Não está. As pessoas contra qm recebe pq não quer trabalhar RT @joaohartley: E o Louçã está a cilindrar o Portas com o RSI #debate	
Não foi Socrates que disse ontem que fazia o seu melhor? http://www.youtube.com/watch?v=JoOAqzLEqwE	
Não venha querer se consolar / Que agora não dá mais pé / Nem nunca mais vai dar \ Rejeição preocupa Sócrates http://ow.ly/4Z0Mq	
Ninguém venceu o #debate porque os dois partidos têm argumentos que agradam aos portugueses. #Louçã e #Portas representam a insatisfação	
No meu blog _ Francisco louçã enganou-se nas contas: Francisco Louçã atirou Passos Coelho ao... http://goo.gl/7zg3Z #Politica #Opiniao	
Novas Oportunidades - Bem sei que ninguém pode disputar com o dr. Louçã o lugar de principal entusiasta do recurso à... http://ow.ly/1cLPLV	
Novo post: Sócrates vs Coelho! Quem ganha?: (Clicar para ampliar)Afinal o plano do FMI é ou não é o PEC IV... http://tinyurl.com/4xl6s38	
Numbri - Apesar de pouco relevante, o debate entre Paulo Portas e Francisco Louçã foi c... http://t.co/enjMacb via @Numbri	
Nunca mais vi uma sondagem. Deve estar tudo à espera do debate de hoje entre Sócrates e Passos Coelho.	
O animal feroz @paulohenriques: Sócrates irrita-se com empresário em conferência http://youtu.be/rREvupGUJ0M""	
O cantinho do telespectador (III): Aqui do meu sofá, dei por mim a pensar… “Camarada Sócrates, ninguém duvida qu... http://bit.ly/jIdFzm	
O Debate entre a defesa do Estado Social e as políticas radicais de direita! Vamos apoiar o PS e Jose Socrates,... http://fb.me/LJy2LVai	
O debate entre José Sócrates e Passos Coelho será decisivo? Dê a sua opinião em http://www.facebook.com/rtpnoticias e vejam RTPN, 10h	
O debate.: Vai ocorrer à noite, mas suponho que podemos resumi-lo já. Sócrates acusa o candidato Passos Coelho e... http://bit.ly/m7hdeA	
O empresário que irritou Sócrates: &quot	Ele foi muito hábil na resposta&quot
O leão mostra a sua raça" vir'ó disco e toca. RT @TVI24_iol: Sócrates irrita-se com empresário em conferência Política  http://t.co/bddWFsz"	
o Louçã vai optar por morar em S. Bento ou fica em casa própria?	
O portas é mesmo um gajo injusto, não há pachorra o RT @bytoke: Portas a atirar p/ Sócrates o aumento da dívida. Q demagogo... #debate	
O senhor entregou as suas ideias na mão de José Sócrates: Paulo Portas acusou Francisco Louçã de irresponsabilid... http://bit.ly/mgfFT3	
o sonho da direita, segundo louçã, é prejudicar as pessoas intencionalmente.	
Ora aí está um bom 'lançamento' para logo... Dérbi dos debates. Passos e Sócrates olhos nos olhos http://bit.ly/j49iNe	
Os media online vão escorrendo, ao longo do dia e a conta-gotas, que Sócrates ganhou o debate de logo à noite com Passos Coelho #debate	
Ouvido no café: Hoje há debate entre Sócrates e o Coelho. Não, não é dos cartazes, é o cantor." #debate"	
Para comentar o debate Sócrates-PAssos usar a hastag #e2011pt http://www.rtp.pt/frenteafrente	
Para Louçã, emprego é emprego público ou a serviço do Estado. #debate	
Parece que o próximo lider do PS - António COsta, não gosta que esteja um Social Democrata na quadratura... pois como o entendo.	
Passos Coelho acusa Sócrates andar a 'brincar' com osportugueses http://ow.ly/1cLTDV	
Paulo Portas quer rede nacional de cuidados paliativos http://dlvr.it/SPQrk	
Pedro Passos Coelho: José Sócrates, é o responsável pela maior tragédia de que há memória em Portugal". É jovem, não se lembra de Salazar."	
Pergunta 'inteligente' da repórter da SICN a P.Portas: «É mais aquilo que o separa do que o que o une a F.Louçã?» Assim vai o 'jornalismo'	
Pois é ... #debate #conversafiada !! Mas Socrates aumenta 4 Euros nas pensões de miséria ... e resolve atribui… (cont) http://deck.ly/~j5QGR	
Portas a atirar p/ Sócrates o aumento da dívida. Q demagogo... #debate	
Portas a tentar enganar os eleitores com a história da maioria vs vitória de Sócrates. #debate	
Portas agora melhor ao apontar a Louçã a falta de presença nas negociações com a Troika. #debate	
Portas e Louçã disputam lugar de “defensor” dos mais pobres http://tinyurl.com/6k7sna8	
Portas também queria ver Sócrates fugir de helicóptero!? Lol #debate	
Proposta 11 - Ensino para todos: Durante uma visita ao Agrupamento de Escolas Luís António Verney, em Lisboa, Louçã... http://dlvr.it/SPYQj	
PS de Sócrates é um problema para o país", acusa Passos Coelho http://dlvr.it/SJKTD"	
Quais negociações? RT @bytoke: Portas agora melhor ao apontar a Louçã a falta de presença nas negociações com a Troika. #debate	
Quando Passos leva uma banana, já Sócrates traz um cacho" http://www.clubedosinvestidores.com/?p=25639"	
Quando vai dar o #debate Sócrates contra Sócrates? #fb	
Quanto é que pesará o Engº José Sócrates? e o Dr. Passos Coelho? É uma pergunta séria, n desconversem.	
.@RitaSiza esta a acompanhar ao minuto" a campanha de Sócrates e @sofiarodrigues a de Portas. Relatos tb podem ser lidos no site @Publico"	
“Ignorante é quem não conhece o programa Novas Oportunidades!”, acusa José Sócrates na Figueira da Foz: Fo... http://tinyurl.com/422hptn	
“Ter ou não ter oportunidades” é a questão fundamental para Sócrates http://publico.pt/1495264	
(Antena 1)  Almoço de Sócrates em Ourém recheado de críticas a Passos Coelho http://dlvr.it/SVdZy	
(Antena 1)  Louçã pede recuperação da ferrovia nacional em viagem de automotora até Beja http://dlvr.it/SPpkm	
(Antena 1)  Miguel Portas diz que ouviram-se algumas verdades no debate em relação a Passos Coelho e José Sócrates http://dlvr.it/SVLHm	
(Antena 1)  Paulo Portas satisfeito com ëderrotaí de José Sócrates no debate com Passos Coelho http://dlvr.it/STdFC	
(Antena 1)  Sócrates considera que debate foi esclarecedor e Passos Coelho destaca vivacidade da discussão http://dlvr.it/ST7tS	
[Destak] Louçã diz que há 20 pessoas em Portugal que têm mil cargos de administração em empresas diferentes:  http://bit.ly/iZw4c2	
[Destakes] Debate entre Sócrates e Passos não foi determinante para esclarecer sentido de voto: O debate de sext... http://bit.ly/iDtBqK	
[Destakes] Jardim questiona se o homem que destruiu" Portugal merece continuar primeiro-ministro: O líder do PS... http://bit.ly/kxdyxG"	
[Destakes] Saúde: Sócrates acusa PSD de querer aumentar preços: O secretário-geral do PS acusou, neste sábado, o... http://bit.ly/kC142T	
[DN]: Analistas: Debate entre José Sócrates e Passos Coelho não foi determinante para os portugueses: O debate d... http://bit.ly/jwe4bo	
[DN]: Há 20 pessoas que têm mil cargos de administração": O coordenador do BE, Francisco Louçã, denunciou quint... http://bit.ly/lNhJxz"	
[DN]: Louçã em comício na Madeira: Francisco Louçã vai dedicar este seu último dia de pré-campana - antes do arr... http://bit.ly/mbAwKU	
[DN]: Louçã quer que campanha volte ao mundo real": O coordenador do Bloco de Esquerda, Francisco Louçã, disse ... http://bit.ly/iPGVvW"	
[DN]: Sócrates diz que Passos escondeu a agenda no debate: Em Ourém, na segunda etapa do dia, José Sócrates diri... http://bit.ly/je8PrP	
[iRadar] Eleições: Líder do PSD tem preconceito social" e contra "tudo o que é público" - Sócrates:  http://bit.ly/mmJYnb"	
[iRadar] Eleições: Louçã quer que campanha volte ao mundo real" e pede "justiça" na economia:  http://bit.ly/jSsqmS"	
[iRadar] Eleições: PS apresenta-se em defesa da igualdade de oportunidades" e "justiça social" - Sócrates:  http://bit.ly/l5e6um"	
[Publico]  Louçã quer que campanha volte “ao mundo real” e pede “justiça” na economia http://goo.gl/fb/6KPHl	
[Publico]  Portas satisfeito" por Sócrates não ter ganho debate http://goo.gl/fb/rh660"	
[Publico]  Twitómetro: Sócrates e Passos com mesma percentagem de menções negativas http://goo.gl/fb/2GMSx	
[Sol] Debate entre Passos e Sócrates não muda sentido de voto: O debate de sexta-feira entre o candidato sociali... http://bit.ly/jlbR0l	
[Sol] Portas: Sócrates não venceu debate com Passos: O líder do CDS-PP, Paulo Portas, manifestou-se hoje bastant... http://bit.ly/mFPl8C	
[Sol] Revista de imprensa - 21 de Maio: O último debate televisivo entre o líder do PS, José Sócrates, e o líder... http://bit.ly/kekZjT	
[Sol] Sócrates e Passos com mais de milhão e meio de telespectadores: O debate entre José Sócrates e Passos Coel... http://bit.ly/ljl9Ko	
[Sol] Sócrates: Ignorante é quem desconhece o Novas Oportunidades: O secretário-geral do PS acentuou hoje os ata... http://bit.ly/khgCCl	
[Sol] Vinte administradores concentram mil cargos em Portugal: O coordenador do BE, Francisco Louçã, denunciou s... http://bit.ly/kNGfcH	
@AldaTelles Olhe que não... Está lá dentro, mesmo. Agora só faltava Louçã renascer das cinzas... #sporting	
@dedraGrip quem leia a entrevista de Louçã à revista do Expresso poderá um dia surpreender-se do voto desse seu (sua) amigo (a)	
@helderlib achas que o cristão lá dos EUA já ouviu falar do Socrates ? ahahahah e ele sabia q o debate  foi ontem ? 	)
@horacioazevedo Ninguém se questiona porq é q nesta campanha ainda não ouvimos uma única critica de Sócrates e dirigentes do PS ao CDS e PP?	
@mjoaonascimento andou a ouvir mts discursos do eng. Socrates...	
@noticiasrtp `Duelo` Sócrates-Passos Coelho foi o mais visto dos 10 debates http://bit.ly/krWdSW	
@noticiasrtp O caminho para o desenvolvimento não é o empobrecimento dos portugueses" - Francisco Louçã http://bit.ly/mjOa8N"	
@PaulaOliveira o Sócrates recebeu esta factura em mão?	
#antena1 `Duelo` Sócrates-Passos Coelho foi o mais visto dos 10 debates: O debate televisivo entre o primeiro-mi... http://bit.ly/iB5jjo	
#antena1 O caminho para o desenvolvimento não é o empobrecimento dos portugueses" - Francisco Louçã: O líder do... http://bit.ly/knsfzP"	
#apombalivre #FMI- Ódio PsD contra Governo Sócrates: adultos ensino superior , tendência ascendente, subiu  8% nos últimos dez anos.	
#campanha Basílio Horta, cabeça de lista por Leiria no almoço-comício com Sócrates em Ourém http://yfrog.com/h690jvj	
#campanha já está na estrada e Sócrates já discursou	
#campanha José Sócrates a direccionar o discurso para a mobilização dos eleitores. «Desta vez é especialmente importante», diz.	
#campanha José Sócrates discursa... o segundo do dia	
#campanha na Praça do Giraldo há uma bancada com apoiantes africanos de Sócrates. Uma TV entrevista o sr. Malik, que agradace ao PM	
#campanha PS Discurso de Sócrates termina com a multidão ao rubro. Grita-se «PS, PS» em repeat e batem-se palmas. Basílio Horta bate palmas	
#campanha PS muitos africanos para o comício de Sócrates na Praça Giraldo http://yfrog.com/hstoyzdj	
#campanha PS Sócrates diz que ignorante é quem não conhece o programa Novas Oportunidades" em referência a Passos Coelho"	
#campanha PS Sócrates vai falar agora. Bandeiras ao alto, todos em pé, levantados das cadeiras, quase «levantados do chão», diria	
#campanha PS: povo galvanizado com chegada de José Sócrates a Évora	
#campanha Sócrates «Aqueles que estão a insultar os seus adversários estão a insultar o povo»	
#campanha Sócrates «Foi o Plano Tecnológico que mudou o país», garante em referência ao programa levado a cabo por Zorrinho	
#campanha Sócrates «Hoje temos 60 mil hectares de regadio», diz alegando que em 2005 eram apenas 6 mil	
#campanha Sócrates a dirigir-se «não apenas aos socialistas» e a abrir caminho a outros «credos»	
#campanha Sócrates a regressar ao tema das Novas Oportunidades e a apontar a baixa qualificação como «o principal problema português»	
#campanha Sócrates abandona a Figueira da Foz rumo a Ourém http://yfrog.com/h754716577j	
#campanha Sócrates cita Embraer para se referir ao crescimento da indústria e ao emprego no Alentejo	
#campanha Sócrates critica o programa do PSD, o «mais radical que a direita alguma vez apresentou»	
#campanha Sócrates diz que o PSD quer que o SNS tenha um plano de benefícios como há no sector privado, com serviços a terem de ser pagos	
#campanha Sócrates regressa agora ao tema da educação. «Todas as escolas do básico têm computadores, têm inglês e têm música»	
#campanha Sócrates segue para o tema da saúde e fala em «400 mil portugueses» que agora têm médico de família	
#campanha Sócrates sobre SNS: «Quem defende os co-pagamentos está a dizer que os portugueses devem pagar duas vezes»	
#campanha Sócrates: «Este almoço representa o arranque oficial da nossa campanha»	
#campanha Sócrates: «Queremos a boa sociedade, da igualdade, da justiça social». ´«É por isso que estamos nesta campanha!» E aplausos...	
#campanha Sócrates: Porque é que um partido propõe que na constituição deixe de constar a gratuidade do SNS?» É porque o pretende, diz	
#debate socrates nunca responde a nada que não sabe, relativamente ao futuro. tem medo do que ouve.-se lá fora e nós aqui dentro	
#jn Portas bastante satisfeito" por Sócrates "não ter ganho debate": O líder do CDS-PP, Paulo Portas, manifesto... http://bit.ly/k6e7AN"	
#pombalivre A inveja da malta deste PsD é risível.Invejam tudo a Sócrates até ter os filhos na privada. Miséria intelectual ilimitada 	)
#portugal Sócrates diz que Passos escondeu a agenda no debate - Diário de Notícias - Lisboa: Sócrates diz que Pa... http://bit.ly/mPqwNJ	
#rtp `Duelo` Sócrates-Passos Coelho foi o mais visto dos 10 debates: O debate televisivo entre o primeiro-minist... http://bit.ly/iB5jjo	
#rtp Líder do PSD tem preconceito social" e contra "tudo o que é público" - Sócrates: O secretário-geral do PS ... http://bit.ly/iS3oSc"	
#rtp Louçã quer que campanha volte ao mundo real" e pede "justiça" na economia: O coordenador do Bloco de Esque... http://bit.ly/jhjfIg"	
#rtp O caminho para o desenvolvimento não é o empobrecimento dos portugueses" - Francisco Louçã: O líder do Blo... http://bit.ly/io6WsX"	
#sicn diz no jornal das 2 que os comentadores não houve vencedores no #debate, mas depois apresenta os mesmos a dizer que #Sócrates perdeu	
#Sócrates e a competência  http://t.co/2IPNYkY	
A capa de hoje do JN é um frete de todo o tamanho a José Sócrates. Sócrates confiante" e Passos "hesitante"? Uma vergonha."	
Afinal a vitória é relativa RT @Publico: Twitómetro: Sócrates e Passos com mesma percentagem de menções negativas http://publico.pt/1495260	
ai, tenho d beber outro café. e o sócrates nada d aparecer c o almoço	
Almoço de Sócrates em Ourém recheado de críticas a Passos Coelho http://dlvr.it/SVdb0	
Análise do debate Sócrates – Passos Coelho, segundo os abrantes nas caixas de comentários d’O Insurgente: Já há ... http://bit.ly/jSgR7P	
Analistas: Debate entre José Sócrates e Passos Coelho não foi determinante para os portugueses http://bit.ly/iigXdf #Portugal	
António Serrano diz que Passos «vê todos saírem da sua volta»: Em Ourém, Sócrates voltou ao tema das Novas Oport... http://bit.ly/j5a9iG	
As filhas de PPCoelho, por acaso, até frequentam a escola pública (ao contrário dos filhos de Sócrates). Deve ser o tal preconceito social.	
Asfixia democrática RT @trainmaniac: e tu nao tarda estas bloqueado RT @andrefgarcia: josé sócrates, estou (cont) http://tl.gd/ajlko7	
Aventar: Sócrates, Coelho e a Nossa Senhora de Fátima http://kapa.biz/oe4	
Basílio Horta, sem querer, faz crítica contundente a José Sócrates relativa/ à entrada do FMI em Portugal: “(.… (cont) http://deck.ly/~Iw2QX	
bem o twitómetro do sapo diz q ontem o Louçã n teve um único tweet sobre si, só eu fiz um 300 mil há aqui alguma coisa q n está certa	
Capas de antologia (1):  Para inaugurar a série, uma bem fresquinha: a de hoje, do Jornal de Notícias. Sócrates... http://bit.ly/lNcXR6"	
Contamos com um grande, actual e futuro, primeiro-ministro de Portugal, José Sócrates, para Defender Portugal.", Carlos Zorrinho"	
davida cameron é mais novo que o nosso passos_coelho e também não tinha experiência governativa #debate	
Debate entre Passos e Sócrates não muda sentido de voto http://bit.ly/kZDO9F	
Destakes - Sócrates: Ignorante é quem desconhece o Novas Oportunidades: O secretário-geral do PS acentuou hoje o... http://bit.ly/lzsMR4	
Dizem q não http://yfrog.com/h2kuzwkj. A publicação da controlinveste claro! RT @luismelo78: Sócrates vs Passos Coelho:Ficou claro como água	
e o debate de ontem? foi tão vazio, nem sócrates nem passos mostraram soluções para o país! Triste é o que é.	
Eleições 2011 Almoço de Sócrates em Ourém recheado de críticas a ...: O secretário-geral do PS, José Sócrates, a... http://bit.ly/mvPUBC	
Eleições: &#39	Duelo&#39
Eleições: Debate entre Sócrates e Passos Coelho não foi determinante para os portugueses, dizem analistas http://dstk.me/Ox1	
Eleições: Líder do PSD tem preconceito social" e contra "tudo o que é público" - Sócrates:  http://bit.ly/jXszDS"	
Eleições: Louçã diz que há 20 pessoas em Portugal que têm mil cargos de administração em empresas diferentes  http://dstk.me/OxK	
Eleições: Portas bastante satisfeito" por Sócrates "não ter ganho debate" http://ow.ly/1cMYiU"	
Equilíbrio ? RT “@itwitting: Sócrates arranca campanha com Novas Oportunidades e SNS e sugere que Passos é ignorante" http://t.co/P7u9sbm”"	
Francisco Louçã no distrito de Beja http://fb.me/R8Udd6Nf	
Grande recepção a José Sócrates em Ourém. Mais de 1000 pessoas manifestam o seu apoio ao PS!	
Grande terra, Ourém! RT @Joaogalamba: Socrates discursa em Ourem sobre educação e novas oportunidades	
Hoje Portugal tem uma balança tecnológica positiva porque apostámos no conhecimento, na técnologia e na inovação.", José Sócrates"	
Hoje temos 60 mi hectares de regadio em benefício de uma agricultura competitiva e do Alentejo, graças ao Alqueva.", José Sócrates"	
Hoje, e com a ajuda do post sobre o debate Sócrates vs Passos Coelho http://bit.ly/l4jREH, o meu blogue ultrapassou as 35.000 visitas...	
Já alguém foi #FB procurar página José Sócrates? Ñ existe, desapareceu. E vejam a quantidade de adesões q tem pág. defender Portugal"!"	
José Sócrates: A liderança do PSD defende que os cidadãos paguem os cuidados de saúde através dos seus impostos""	
Líder do PSD tem «preconceito social», diz Sócrates: Num almoço em Ourém que definiu como de «arranque oficial d... http://bit.ly/jKSp17	
Liked "Francisco Louçã denunciou dados de um relatório da CMVM que revelam que existem em Portugal 20 pessoas com... http://ff.im/-DOxZn"	
LOOL a TVI chamou passos coelho ao socrates xD	
Mais de mil pessoas aplaudem o Secretário-geral do PS, José Sócrates, em Évora, gritando PS e vitória	
Miguel Portas diz que ouviram-se algumas verdades no debate em relação a Passos Coelho e José Sócrates http://dlvr.it/SVLHl	
Não perca este vídeo -- O Adeus a Sócrates http://t.co/sGAHRmg via @youtube	
Novas Oportunidades: «Ignorante é quem não conhece»: A frase de José Sócrates foi dita de manhã, na Figueira da ... http://bit.ly/kkyX4a	
O caminho para o desenvolvimento não é o empobrecimento dos portugueses" - Francisco Louçã: O líder do Bloco de... http://bit.ly/lNMKvC"	
O DO gosta muito de Sócrates ... já não esconde	
O Louçã abriu a caça a 20 tipos que tem dinheiro e chama-os de mais poderosos"..."	
O Louçã sabe que em Viseu não há ferrovia?	
O que é que afinal fez o Sócrates pelo país, questionou Alberto João Jardim." - não sei, mas na Madeira deixou ai dinheiro, não foi ?"	
O quê.... Passos Coelho esteve melhor do que Sócrates?!? Este país está bêbado!	
ok, eu vou votar, mas me aconselha em quem? @Renascenca Sócrates apela ao voto de todos os que defendem o Estado Social	
Olha...RT @Kamponez Olha a comunidade afro-asiática de cabeceiras de basto a apoiar Socrates em Évora ...	
Para os que dizem que têm dúvidas: [Publico]  Portas satisfeito" por Sócrates não ter ganho debate. O nosso adversário é o PS."	
Para ver, ou rever, o debate de ontem entre Pedro Passos Coelho e José Sócrates: http://t.co/kSxftJu	
Parece que sou bruxo: Escrevi isto ontem no Facebook pelas 14 horas Vamos ter um debate Sócrates -Passos. Vai um... http://bit.ly/jifHk9	
Passos á procura de “vitamina” para ganhar as eleições: O debate de ontem entre José Sócrates e Pedro Passos Coe... http://bit.ly/jNUwc6	
Passos pede a Portas que esclareça se forma Governo com Sócrates  http://www.ionline.pt//c124781	
Paulo Fonseca, Pres. Fed. de Santarém, dá as boas vindas a José Sócrates e manifesta o seu apoio aos candidatos a deputados pelo Distrito.	
Paulo Portas satisfeito com ëderrotaí de José Sócrates no debate com Passos Coelho http://dlvr.it/STdFG	
Pelo que vejo e oiço o PPC ganhou o debate porque não sofreu KO...	
Portas “satisfeito por Sócrates não ter ganho debate http://dlvr.it/ST8Jn"	
portugal tem talento – sócrates bôrras ( 2 gala ) 13 / 03 / 2011: 2 gala de portugal tem talento http://bit.ly/jgr0ik	
PS apresenta-se em defesa da &quot	igualdade de oportunidades&quot
Quais as empresas, dr Louçã?: O que eu gostaria de saber, mas Francisco Louçã não informa, é quantos destes admi... http://bit.ly/iROYMC	
Qual BE? Tas tonto! RT @horacioazevedo: O BE ala twitter não esconde a simpatia por Sócrates. #debate	
Quem diz que Socrates ganhou o debate só ter visto o canal errado !	
Quem ganhou o debate: Sócrates ou Coelho? \ DNOTICIAS.PT http://t.co/iQRgARs via @AddThis	
Ricardo Araújo Pereira: fiquei convencido de q este candidato Sócrates pode fazer muito melhor do que o bandido q nos governou até agora"."	
RT @aabcosta: RT @bloco: Louçã: “Há 20 administradores que acumulam 1000 cargos” \ Esquerda http://ti3.in/8c	
RT @BrunoMonteiro: Louçã denuncia q há 20 pessoas em Portugal q têm mil cargos de administração em empresas diferentes-  Jornal de Negóc ...	
RT @economiaportuga: Vinte administradores concentram mil cargos em Portugal: O coordenador do BE, Francisco Louçã, denunciou sexta-f... ...	
RT @ExpressoOnline: Sócrates: Ignorante" é quem desconhece o programa Novas Oportunidades http://ow.ly/1cN38G"	
RT @filicaetano: #campanha Mais uma acompanhante de Sócrates. «Vim de rio de Mouro com o sr. António». E quem lhe deu a merenda? «Ai meu ...	
RT @horacioazevedo: Ler: Sócrates não perde http://j.mp/khBNs6 #blogues	
RT @itwitting: Passos pede a Portas que esclareça se forma Governo com Sócrates  http://www.ionline.pt//c124781	
RT @Jo4nito: Louçã e os 20 gestores com mil cargos: são turbo-administradores que voam de empresa para empresa" http://j.mp/iKEuAl"	
RT @joaovillalobos: Sócrates já n é assunto racional. É para consumo exclusivo de fanáticos" João Pereira Coutinho http://bit.ly/moJog6"	
RT @LuisTebosa: Sócrates fez 4 debates televisivos e não apresentou uma medida para o futuro..apenas critico… (cont) http://deck.ly/~fk4m4	
RT @marcocandeias: #debate PPC não aguentava era a máquina. Ou eram eleições ou era a rua.	
RT @oindiscreto: Outra ideia para evitar as eleições. Passos Coelho e Sócrates no peso pesado. Quem perder mais peso forma governo.	
